,name,psnr,ssim
0,test001,25.608930030649564,0.8206388662404199
1,test002,29.408402467616312,0.9103300941749057
2,test003,28.95875606058725,0.902281702417766
3,test004,30.022194828282277,0.9013733134054365
4,test005,26.701455901621173,0.8640457374951923
5,test006,29.98832550404056,0.8978130232123481
6,test007,28.186547382803752,0.8875255489563062
7,test008,26.01673909470708,0.8470094734353558
8,test009,28.504071310440136,0.8895415718217823
9,test010,29.296753223333916,0.8860258658520641
10,test011,27.90789310589961,0.9019654256059921
11,test012,28.10266483980969,0.8691774095890689
12,test013,29.050769018222617,0.8826397059990594
13,test014,29.859562898420737,0.9008295370017426
14,test015,26.944839223080514,0.8653504996708786
15,test016,27.358752265520366,0.9011219958840524
16,test017,31.78722918933945,0.9094799532183622
17,test018,31.78753399823384,0.9230999990852339
18,test019,27.379600622028107,0.8649899660351078
19,test020,28.118567208166816,0.8868145653602443
20,test021,25.761227210676573,0.8934517684465914
21,test022,26.61512994329648,0.8698190949340058
22,test023,27.98775254129891,0.8925343630285432
23,test024,28.123815934405528,0.901942434670299
24,test025,28.87441596078546,0.924216691255891
25,test026,27.936136216891803,0.8724435291412196
26,test027,29.40655984891436,0.8908591952937771
27,test028,31.590866580606058,0.9197324052578608
28,test029,24.108587445515187,0.8641913076812447
29,test030,29.42820740253478,0.8840023538453192
30,test031,24.222967175263786,0.8484118537596272
31,test032,26.410922315182784,0.869277548468526
32,test033,27.237884179736042,0.907461888256959
33,test034,30.1286167795349,0.8871786380135848
34,test035,27.718160351050827,0.8671517064599015
35,test036,26.996217774323892,0.7339287397613291
36,test037,27.86435899576057,0.8353688849424068
37,test038,28.52450690139772,0.8721226103773992
38,test039,31.442857591860705,0.9313447625596697
39,test040,28.44177291505154,0.8747900893186766
40,test041,27.295254587395227,0.8658679132672241
41,test042,28.839936265892014,0.8831926027919714
42,test043,29.585502347939162,0.9218027072850112
43,test044,26.66857894661802,0.8668218097636898
44,test045,32.06659892288049,0.9092600238607872
45,test046,25.98780704894407,0.854455730220112
46,test047,26.39127886042258,0.850773049364734
47,test048,28.437798230964386,0.9251891569631996
48,test049,30.706594612558554,0.8954050175747433
49,test050,26.372889461087734,0.8456124618069832
50,test051,27.810746232524274,0.8801191056376891
51,test052,30.029786387062963,0.8841959227670746
52,test053,30.151892784437884,0.8625049789463859
53,test054,28.351683871794734,0.8848708538610425
54,test055,27.208166395868922,0.863737184330165
55,test056,23.80519158419457,0.8206269863200536
56,test057,27.895087814782595,0.8628777673918328
57,test058,30.13331019291174,0.8694679777197566
58,test059,29.620996970641915,0.8673774551943649
59,test060,30.333537708315966,0.8818859223976718
60,test061,29.42507167957565,0.8795155861096711
61,test062,31.94407241685502,0.9398079441387645
62,test063,26.28384152537603,0.8737923345779203
63,test064,26.423753309983336,0.8206000003693319
64,test065,28.4282696252377,0.8785938275576042
65,test066,34.88764313663796,0.9537302328900972
66,test067,24.549826682984698,0.8831643928631355
67,test068,25.4883319092885,0.8868932959199564
68,Average,28.307852966912765,0.8803592112033104
