,name,psnr,ssim
0,test001,25.49772123437498,0.8157686877551593
1,test002,29.156016281394027,0.9027982915021169
2,test003,28.97776785333815,0.9019547973664873
3,test004,30.010815028061252,0.9005170734072767
4,test005,26.914603595420417,0.8577317391073005
5,test006,31.206911934130343,0.9063903664635345
6,test007,28.18779551670499,0.8870466010951328
7,test008,25.97897092604103,0.8441221837052774
8,test009,28.399351018834057,0.88424775636244
9,test010,29.268317695292115,0.8849369159214698
10,test011,27.825237455026063,0.899445508137378
11,test012,27.99884895721476,0.8650779619122971
12,test013,29.087260708055158,0.8839580172654554
13,test014,29.81121005807754,0.8985022502208303
14,test015,26.86349695808029,0.8596046107360683
15,test016,27.36942959889641,0.9016105052723808
16,test017,31.75192596263639,0.907659269919722
17,test018,31.59712755330762,0.9198711570737288
18,test019,27.444730044225377,0.863121551307996
19,test020,28.19188869572539,0.8930410279540509
20,test021,25.754130853972164,0.8958955435370818
21,test022,26.53789126805566,0.8650527929572499
22,test023,28.079951664593064,0.8942336806927682
23,test024,28.103946712622264,0.8993554693645418
24,test025,28.775238801345857,0.9185547382802132
25,test026,28.03906441607729,0.869175392812674
26,test027,29.36495473453352,0.8879839733874038
27,test028,31.516978584980947,0.9115734302053322
28,test029,24.005571039927666,0.8558033553700704
29,test030,29.510714390985488,0.8864260162956098
30,test031,24.16450088111739,0.842621886039195
31,test032,26.371624705305685,0.8662585757078914
32,test033,27.202354934412135,0.90681396540789
33,test034,31.535687695088196,0.9050720785333521
34,test035,27.64446396621353,0.8649277774208122
35,test036,27.04962239041187,0.7315837212604801
36,test037,27.945939166462832,0.845565465191985
37,test038,28.507836917779635,0.8692149904813757
38,test039,31.44989663539329,0.9292099862067348
39,test040,28.472014051397675,0.87078507122926
40,test041,27.37055870600129,0.8653751378877874
41,test042,28.71928355050944,0.8817740791070391
42,test043,29.569141060058193,0.9209014691541667
43,test044,26.710642154028218,0.8692785649776279
44,test045,31.865763922304005,0.9045787615538812
45,test046,25.953294739824685,0.8531939621044887
46,test047,26.304346051975358,0.8466538036397709
47,test048,28.7229785789662,0.923515721159729
48,test049,30.430598099778294,0.8913315730191796
49,test050,26.303564523560276,0.8349591212446352
50,test051,27.814559883462195,0.8804283625242612
51,test052,30.630700099592694,0.888592402879302
52,test053,30.321634306397968,0.8666109641465994
53,test054,28.461413490013662,0.886399633741852
54,test055,27.12816254791488,0.8607397636282853
55,test056,23.686126301517415,0.8049938154574534
56,test057,27.804346917056414,0.8593138135387199
57,test058,30.12045039940876,0.8711185616499402
58,test059,29.497264082671485,0.8646702031918349
59,test060,30.28229491761879,0.8808159667468926
60,test061,29.3171563096164,0.8752922970580519
61,test062,31.874971039837998,0.9351815543732813
62,test063,26.1987789051212,0.8695672011492555
63,test064,26.414119020260635,0.815995603040716
64,test065,28.388606368467567,0.874345682828244
65,test066,34.50792885555824,0.952664975316579
66,test067,24.489700947745504,0.8806393712129699
67,test068,25.64314842128244,0.8769735339871211
68,Average,28.325049192442098,0.8783738247527603
