,name,psnr,ssim
0,01,28.860716483568723,0.9006492444725572
1,02,31.188129935690185,0.9130722162612697
2,03,29.524865465522385,0.9163462039281367
3,04,28.288238235808162,0.9067607419804301
4,05,29.37701013857632,0.9349808299559992
5,06,27.92921081076472,0.8876175356370648
6,07,28.598297151222276,0.9041181387545424
7,08,30.87987122790846,0.9110673070579374
8,09,28.05175279006141,0.8946399885959043
9,10,29.217192076810402,0.8821388385326515
10,11,29.353866133780507,0.8869857811346948
11,12,29.053360255748622,0.8874371510823037
12,Average,29.19354255878851,0.902151164782791
